trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
197,False,"{'a': 0.9, 'e': 0.9233809109895471}",20,0,-116.30870200163079,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
198,False,"{'a': 0.9, 'e': 0.9226112947402}",25,0,-231.33498744059673,"{0: 14, 1: 0, 2: 6, 3: 1, 4: 4}",0
199,False,"{'a': 0.9, 'e': 0.9218379880469041}",20,0,-181.80910728323855,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
200,False,"{'a': 0.9, 'e': 0.9210609940028851}",20,0,-161.48490440416884,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
201,False,"{'a': 0.9, 'e': 0.9202803157161181}",25,0,-149.74837170315126,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
202,False,"{'a': 0.9, 'e': 0.9194959563093155}",25,0,-120.8834860457607,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",1
203,False,"{'a': 0.9, 'e': 0.9187079189199134}",35,0,-140.07587134920456,"{0: 21, 1: 0, 2: 12, 3: 2, 4: 0}",0
204,False,"{'a': 0.9, 'e': 0.9179162067000607}",30,0,-228.6500529471863,"{0: 18, 1: 0, 2: 7, 3: 1, 4: 4}",0
205,False,"{'a': 0.9, 'e': 0.9171208228166051}",30,0,-173.6993820655939,"{0: 22, 1: 0, 2: 2, 3: 3, 4: 3}",0
206,False,"{'a': 0.9, 'e': 0.916321770451081}",30,3,-217.30274083965867,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 3}",1
207,False,"{'a': 0.9, 'e': 0.9155190527996969}",30,0,-258.2433956471785,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 5}",0
208,False,"{'a': 0.9, 'e': 0.9147126730733223}",30,6,-111.4780761200728,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 1}",1
209,False,"{'a': 0.9, 'e': 0.913902634497475}",20,0,-115.92308039434603,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
210,False,"{'a': 0.9, 'e': 0.9130889403123083}",25,0,-230.8498500982709,"{0: 11, 1: 0, 2: 10, 3: 1, 4: 3}",0
211,False,"{'a': 0.9, 'e': 0.9122715937725977}",20,0,-108.08134882887097,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
212,False,"{'a': 0.9, 'e': 0.9114505981477284}",20,0,-254.88416762974896,"{0: 6, 1: 1, 2: 4, 3: 7, 4: 2}",0
213,False,"{'a': 0.9, 'e': 0.9106259567216819}",30,0,-173.56167479387773,"{0: 19, 1: 0, 2: 7, 3: 2, 4: 2}",0
214,False,"{'a': 0.9, 'e': 0.9097976727930226}",20,0,-109.48024236354999,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
215,False,"{'a': 0.9, 'e': 0.9089657496748851}",25,0,-115.65404488572082,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
